File,Vowel1,V1D,Vowel2,V2D,Vowel3,V3D,Stress
F2A10,a1,0.03017801,U2,0.041689033,o3,0.088546549,2
F2A12,e1,0.078913743,U2,0.059644391,o3,0.1167425,2
F2A14,y1,0.049634594,u2,0.031794429,U3,0.083965255,3
F2A15,y1,0.061935979,U2,0.073939248,o3,0.141764273,2
F2A18,a1,0.061340945,u2,0.033678709,U3,0.077978142,3
F2A19,a1,0.058731814,E2,0.056729707,a3,0.067491198,2
F2A20,e1,0.089748887,I2,0.043113932,o3,0.139189537,2
F2A22,e1,0.063465673,u2,0.056139029,U3,0.114701763,3
F2A23,y1,0.043860109,U2,0.035673754,o3,0.121415942,2
F2A24,a1,0.025889026,u2,0.041796184,U3,0.077794953,3
F2A25,e1,0.07483423,U2,0.049064148,a3,0.097379529,2
F2A27,e1,0.039865189,U2,0.057176792,o3,0.1541612,2
F2A30,u1,0.052915166,i2,0.045850397,U3,0.120720129,3
F2A31,a1,0.049233202,e2,0.053219368,U3,0.070556483,3
F2A32,u1,0.056575877,I2,0.043726504,a3,0.07742142,2
F2A34,a1,0.052893624,e2,0.052079582,U3,0.092774649,3
F2A36,e1,0.069246551,i2,0.052644484,U3,0.088655078,3
F2A40,e1,0.065236672,U2,0.058335749,a3,0.109796197,2
F2A41,i1,0.055524012,I2,0.04907926,o3,0.068660039,2
F2A45,y1,0.08085293,i2,0.048312181,U3,0.096496392,3
F2A46,a1,0.05314633,E2,0.058466453,o3,0.060685714,2
F2A47,e1,0.05405997,u2,0.035265501,U3,0.078216908,3
F2A48,y1,0.057253533,u2,0.066869321,U3,0.110040645,3
F2A50,a1,0.06167852,U2,0.034299854,a3,0.085935251,2
F2A51,e1,0.054053628,u2,0.05800212,U3,0.097505325,3
F2A52,y1,0.083605551,I2,0.048225046,a3,0.086844025,2
F2A55,e1,0.079335294,i2,0.042157584,U3,0.116621256,3
F2A56,i1,0.061544123,I2,0.043103825,a3,0.086385393,2
F2A58,y1,0.060179877,u2,0.043170512,U3,0.120141484,3
F2A60,y1,0.045722906,u2,0.064993852,U3,0.09332615,3
F2A61,y1,0.086914471,I2,0.066629294,o3,0.167758477,2
F2A63,u1,0.064505701,i2,0.045616075,U3,0.071153505,3
F2A66,a1,0.045921899,u2,0.040405372,U3,0.113366737,3
F2A67,a1,0.05936716,U2,0.036513621,o3,0.114103402,2
F2A68,y1,0.049233815,U2,0.028793625,a3,0.095953274,2
F2A69,i1,0.049711039,i2,0.045126471,U3,0.122600458,3
F2A7,u1,0.039195395,I2,0.041998952,o3,0.130056827,2
F2A70,y1,0.068133407,U2,0.06391867,a3,0.093889311,2
F2A72,y1,0.080311079,i2,0.066473724,U3,0.159541069,3
F2A73,a1,0.033838652,U2,0.031958727,a3,0.089614592,2
F2A74,a1,0.060270186,u2,0.036147972,U3,0.12182023,3
F2A75,i1,0.049138467,i2,0.039336851,U3,0.067588527,3
F2A76,e1,0.04582719,u2,0.061828533,U3,0.117895382,3
F2A78,e1,0.127897134,I2,0.056683923,a3,0.102325242,2
F2B11,i1,0.079822242,I2,0.051281548,a3,0.088534245,2
F2B14,e1,0.064717974,u2,0.066378151,U3,0.113564362,3
F2B15,u1,0.061470819,I2,0.037447919,o3,0.104348701,2
F2B16,a1,0.051288271,u2,0.046536625,U3,0.075919572,3
F2B17,a1,0.055136315,e2,0.0602025,U3,0.098958406,3
F2B18,u1,0.046319313,i2,0.051585725,U3,0.070289978,3
F2B19,a1,0.05826484,U2,0.044588112,a3,0.092886182,2
F2B20,e1,0.08050036,U2,0.072004899,o3,0.063713541,2
F2B22,a1,0.067213146,E2,0.074858429,a3,0.105935048,2
F2B23,i1,0.062359167,i2,0.071044695,U3,0.073943492,3
F2B24,a1,0.090606738,U2,0.043719189,o3,0.142954385,2
F2B25,y1,0.043203391,u2,0.049778168,U3,0.065490025,3
F2B26,a1,0.040083187,u2,0.046949576,U3,0.084121454,3
F2B27,a1,0.076294495,U2,0.040149336,a3,0.108327629,2
F2B30,y1,0.06914913,u2,0.048467436,U3,0.1195935,3
F2B31,a1,0.047700725,U2,0.050669106,o3,0.111769006,2
F2B32,a1,0.071029111,u2,0.049010244,U3,0.099651206,3
F2B34,y1,0.057043739,u2,0.056273509,U3,0.08531329,3
F2B36,y1,0.107728038,I2,0.059050026,o3,0.152811444,2
F2B38,i1,0.061205438,I2,0.059235909,o3,0.140442527,2
F2B39,y1,0.08731111,i2,0.057958307,U3,0.105089878,3
F2B40,a1,0.059398922,E2,0.06787712,o3,0.11701745,2
F2B41,i1,0.071565436,i2,0.078597213,U3,0.096481782,3
F2B43,e1,0.051677662,u2,0.066059264,U3,0.102961336,3
F2B47,y1,0.043275331,U2,0.047752089,a3,0.094198457,2
F2B51,e1,0.09397328,I2,0.057245257,a3,0.11707166,2
F2B53,y1,0.06826591,i2,0.056060677,U3,0.120620921,3
F2B55,y1,0.058181793,u2,0.063299651,U3,0.141277324,3
F2B56,y1,0.060972394,U2,0.039511262,o3,0.105004986,2
F2B60,e1,0.070299625,i2,0.057685378,U3,0.085365568,3
F2B61,y1,0.075939416,U2,0.069503873,o3,0.104041291,2
F2B63,u1,0.057983206,i2,0.053547498,U3,0.07664443,3
F2B65,e1,0.082333883,U2,0.069782373,o3,0.115460686,2
F2B67,e1,0.058475877,U2,0.055319691,o3,0.12663907,2
F2B68,y1,0.0463865,U2,0.030505709,a3,0.080595973,2
F2B69,e1,0.106378211,I2,0.052542636,o3,0.118960403,2
F2B7,e1,0.071890784,u2,0.0534655,U3,0.134945235,3
F2B72,y1,0.073776873,I2,0.04124173,a3,0.107228499,2
F2B73,e1,0.078643669,i2,0.065772778,U3,0.103151249,3
F2B75,e1,0.078973024,U2,0.056384177,a3,0.101505074,2
F2B77,e1,0.059662682,U2,0.04956592,a3,0.091941716,2
F2B78,a1,0.073601888,u2,0.044938571,U3,0.089438573,3
F2B8,u1,0.072552788,I2,0.043596455,a3,0.070252014,2
F2B9,a1,0.063844716,e2,0.04810477,U3,0.058245471,3
F2C10,a1,0.04575325,e2,0.052570346,U3,0.055264738,3
F2C11,e1,0.077653367,i2,0.063420757,U3,0.101091774,3
F2C12,y1,0.066162131,u2,0.071341998,U3,0.077645429,3
F2C14,y1,0.076059665,I2,0.059555846,o3,0.133863838,2
F2C15,a1,0.053976685,E2,0.071692614,a3,0.087155727,2
F2C17,y1,0.053754527,U2,0.061855974,a3,0.089578899,2
F2C18,a1,0.072478863,u2,0.039700713,U3,0.0787894,3
F2C19,a1,0.062699733,E2,0.082785205,o3,0.111763601,2
F2C23,a1,0.083937961,U2,0.038293409,o3,0.083965315,2
F2C24,u1,0.050569524,I2,0.038562035,a3,0.093421134,2
F2C25,y1,0.06077633,U2,0.064521257,o3,0.122730682,2
F2C26,y1,0.044999179,u2,0.038835923,U3,0.110902762,3
F2C27,e1,0.061659514,U2,0.05138791,o3,0.131610171,2
F2C29,a1,0.055137225,e2,0.056292256,U3,0.085556123,3
F2C30,e1,0.079782049,I2,0.053188033,o3,0.115765856,2
F2C34,u1,0.050447695,i2,0.06025405,U3,0.101847325,3
F2C37,y1,0.071925536,I2,0.036707433,a3,0.096365591,2
F2C39,e1,0.053598252,U2,0.050341275,a3,0.10027592,2
F2C40,e1,0.061704978,u2,0.074608209,U3,0.102181277,3
F2C41,y1,0.037263476,u2,0.052369292,U3,0.072318308,3
F2C45,e1,0.065764467,U2,0.041897473,a3,0.078254631,2
F2C46,i1,0.050546016,i2,0.07123948,U3,0.082410256,3
F2C47,e1,0.068393045,i2,0.060685665,U3,0.087705453,3
F2C50,a1,0.070394725,u2,0.03315357,U3,0.087237063,3
F2C51,a1,0.049014309,U2,0.039933028,o3,0.105943991,2
F2C52,u1,0.035981943,i2,0.034973621,U3,0.102299529,3
F2C54,y1,0.078793078,i2,0.057700825,U3,0.096212222,3
F2C56,e1,0.062916993,u2,0.059218399,U3,0.071694805,3
F2C59,e1,0.054562759,u2,0.066273314,U6,0.12775899,3
F2C6,e1,0.090921088,I2,0.055720418,a3,0.101877454,2
F2C60,i1,0.065232918,I2,0.045487022,a3,0.070752627,2
F2C61,a1,0.040996783,u2,0.045984545,U3,0.062590365,3
F2C62,y1,0.069649717,i2,0.070886254,U3,0.102556476,3
F2C63,e1,0.05047515,u2,0.059887827,U3,0.071185899,3
F2C67,y1,0.052930163,U2,0.03317868,a3,0.053544555,2
F2C68,a1,0.068128837,U2,0.05024196,a3,0.094201958,2
F2C69,y1,0.049925738,u2,0.056060192,U3,0.112467459,3
F2C7,u1,0.040086999,I2,0.038832171,o3,0.116571468,2
F2C70,a1,0.029907826,U2,0.033533016,a3,0.090530639,2
F2C74,y1,0.056725234,U2,0.040550654,o3,0.126246694,2
F2C75,a1,0.046281203,u2,0.046482014,U3,0.096598707,3
F2C77,i1,0.041679549,I2,0.05147302,o3,0.080256156,2
F2C8,i1,0.056901862,i2,0.06332255,U3,0.06797554,3
F2C9,e1,0.070836489,U2,0.068697855,o3,0.115518314,2